country_code,year,cpi
NRU,2011,
NRU,2012,0.7449175829055574
NRU,2013,
NRU,2014,
NRU,2015,
NRU,2016,
NRU,2017,
NRU,2018,
NRU,2019,
NRU,2020,
NRU,2021,
NRU,2022,
NRU,2023,
NRU,2024,
PHL,2000,0.4613959570778019
PHL,2001,
PHL,2002,
PHL,2003,0.5109010732319461
PHL,2004,
PHL,2005,
PHL,2006,0.6018862368384781
PHL,2007,
PHL,2008,
PHL,2009,0.6985391155864323
PHL,2010,
PHL,2011,
PHL,2012,0.7821592363015191
PHL,2013,
PHL,2014,
PHL,2015,0.8368315309700505
PHL,2016,
PHL,2017,
PHL,2018,0.917769456795384
PHL,2019,
PHL,2020,
PHL,2021,1.0
PHL,2022,
PHL,2023,1.1214717408508463
PHL,2024,
PNG,2000,
PNG,2001,
PNG,2002,
PNG,2003,
PNG,2004,
PNG,2005,
PNG,2006,
PNG,2007,
PNG,2008,
PNG,2009,0.5743883973349854
PNG,2010,
PNG,2011,
PNG,2012,
PNG,2013,
PNG,2014,
PNG,2015,
PNG,2016,
PNG,2017,
PNG,2018,
PNG,2019,
PNG,2020,
PNG,2021,
PNG,2022,
PNG,2023,
PNG,2024,
SLB,2000,
SLB,2001,
SLB,2002,
SLB,2003,
SLB,2004,
SLB,2005,0.5068053512784731
SLB,2006,
SLB,2007,
SLB,2008,
SLB,2009,
SLB,2010,
SLB,2011,
SLB,2012,0.8661829098791017
SLB,2013,
SLB,2014,
SLB,2015,
SLB,2016,
SLB,2017,
SLB,2018,
SLB,2019,
SLB,2020,
SLB,2021,
SLB,2022,
SLB,2023,
SLB,2024,
THA,2000,0.6803545847471464
THA,2001,
THA,2002,0.6962446767896385
THA,2003,
THA,2004,0.7283644243020847
THA,2005,
THA,2006,0.7967462576050296
THA,2007,0.8146056162046109
THA,2008,0.8591522443364209
THA,2009,0.8516580258064178
THA,2010,0.8795900704406212
THA,2011,0.9130918276813584
THA,2012,0.9406206239686012
THA,2013,0.9611721300028648
THA,2014,0.9793876946642976
THA,2015,0.9705690445523992
THA,2016,0.97239517103226
THA,2017,0.978867746554421
THA,2018,0.9892818750236134
THA,2019,0.9962733920447
THA,2020,0.9878455754113666
THA,2021,1.0
THA,2022,0.9838931510660648
THA,2023,1.067308114955239
THA,2024,
TLS,2000,
TLS,2001,0.4178237820793709
TLS,2002,
TLS,2003,
TLS,2004,
TLS,2005,
TLS,2006,
TLS,2007,0.5577408209459321
TLS,2008,
TLS,2009,
TLS,2010,
TLS,2011,
TLS,2012,
TLS,2013,
TLS,2014,0.9282873696842532
TLS,2015,
TLS,2016,
TLS,2017,
TLS,2018,
TLS,2019,
TLS,2020,
TLS,2021,
TLS,2022,
TLS,2023,
TLS,2024,
TON,2000,0.3737281023775124
TON,2001,
TON,2002,
TON,2003,
TON,2004,
TON,2005,
TON,2006,
TON,2007,
TON,2008,
TON,2009,0.7124664524787909
TON,2010,
TON,2011,
TON,2012,
TON,2013,
TON,2014,
TON,2015,0.8104832373825076
TON,2016,
TON,2017,
TON,2018,
TON,2019,
TON,2020,
TON,2021,1.0
TON,2022,
TON,2023,
TON,2024,
TUV,2000,
TUV,2001,
TUV,2002,
TUV,2003,
TUV,2004,
TUV,2005,
TUV,2006,
TUV,2007,
TUV,2008,
TUV,2009,
TUV,2010,0.7471323459626312
TUV,2011,
TUV,2012,
TUV,2013,
TUV,2014,
TUV,2015,
TUV,2016,
TUV,2017,
TUV,2018,
TUV,2019,
TUV,2020,
TUV,2021,
TUV,2022,
TUV,2023,
TUV,2024,
VNM,2000,
VNM,2001,
VNM,2002,0.284100158599588
VNM,2003,
VNM,2004,0.3044830824830243
VNM,2005,
VNM,2006,0.3633729912584381
VNM,2007,
VNM,2008,0.4415083772350566
VNM,2009,
VNM,2010,0.5582138791893494
