country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AUS,national,0.0150631426589687,0.01514743106755845,0.015218473482794693,0.015298967962972991,0.01537183950772649,0.015468856625989371,0.01559174417442987,0.01579634056031628,0.01603387333535012,0.01628667587649714,0.01646242806311185,0.016601868089428134,0.016780045843441966,0.01695797537266145,0.017104608150759374,0.01725191684482275,0.017423506033997182,0.01760610676777893,0.017788287548746357,0.01798936266543043,0.018169540036175207,0.01817907850514478,0.018414566890330428,0.018886338360327312,0.019301512931310872,0.0195231294065988
CHN,national,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0
FJI,national,0.0006584362858253205,0.0006604680829083955,0.0006626307220364247,0.0006648536524031047,0.0006670574988611067,0.0006691971066020614,0.0006714907001706195,0.000673669364297363,0.0006744373066519223,0.0006739703367387985,0.0006730802080761676,0.0006712819953425666,0.0006680435232890907,0.0006644772661507938,0.0006610369140134783,0.0006577705022379673,0.0006544528733957632,0.0006502559187743874,0.0006461803495144841,0.0006423924767303711,0.0006410393779097802,0.0006418501961404313,0.0006439969797070627,0.0006481384282572689,0.0006523496105781463,0.0006570550284038002
FSM,national,8.117940892038437e-05,8.08112392629159e-05,8.030753889366351e-05,7.962649175631603e-05,7.878384610630818e-05,7.783325688228562e-05,7.6807196445065e-05,7.57735001540131e-05,7.468189641159487e-05,7.357070510958219e-05,7.288432948768304e-05,7.256371228136563e-05,7.209013517262557e-05,7.159762990542658e-05,7.118420586702684e-05,7.084977902720526e-05,7.072091093000848e-05,7.062864076284559e-05,7.068832870214567e-05,7.082372829302826e-05,7.123360552637225e-05,7.18164859506484e-05,7.231591168275144e-05,7.288153866151335e-05,7.346809465976407e-05,7.411717756540848e-05
IDN,national,0.17112480484628495,0.1722608541042949,0.17344622076927715,0.17466625767569713,0.17585290910800364,0.1770805619157376,0.17844381359950698,0.17987466231432667,0.18129226746156926,0.18269296895630988,0.18411916536813258,0.1854686360297588,0.18659875926528877,0.18767342783474705,0.18869905384313004,0.18972241620117047,0.19067623494278524,0.19147328321434395,0.1924371695029865,0.1935583845378721,0.19474629166372828,0.19594852339293628,0.19744189625182954,0.19931963870786593,0.2011960650382323,0.20324354370886674
JPN,national,0.10045136575033735,0.09996491116376807,0.09952853386682395,0.0991223734798284,0.09856848681462614,0.09799959662810304,0.09751563246316314,0.09711921232467742,0.0966696676241763,0.09617801730617712,0.09573180815990771,0.09503385536574994,0.09424061658143278,0.09347984663562327,0.09276912697065437,0.09213329992040303,0.09156001322314221,0.09093307216407312,0.09039409508890779,0.0899476614985003,0.08947029367272617,0.08898036341005452,0.08859800114803582,0.08825889116067485,0.08798351545555463,0.08763711080308267
KIR,national,6.262219203830119e-05,6.348988372372952e-05,6.454359661280084e-05,6.557019225629768e-05,6.656223858567904e-05,6.75725398636565e-05,6.863639662064934e-05,6.984577550747644e-05,7.112320707820501e-05,7.24514562698391e-05,7.375448302598333e-05,7.475623674363763e-05,7.533490386390238e-05,7.579134789003093e-05,7.623578129310765e-05,7.671926165175607e-05,7.749648508533855e-05,7.835960198860062e-05,7.936771313858674e-05,8.051234556054425e-05,8.199337584091515e-05,8.367827821261443e-05,8.531368453225403e-05,8.698800878585552e-05,8.862673567202562e-05,9.033971343107002e-05
KOR,national,0.03722259404063496,0.03723783068903171,0.03720358560614206,0.03716469676477424,0.03709126947738456,0.036951943900778064,0.0369396566433119,0.03693341078529316,0.03702478726996523,0.03703122598497624,0.037036895998405116,0.03711941684184521,0.03706272127468031,0.03698451113971396,0.036983594738365926,0.03696345853762325,0.036898432976078824,0.03677903600186383,0.036766590348750204,0.03676420800790266,0.036727533080303666,0.03664768089329847,0.03658395209294125,0.03665045456604264,0.03672298886066151,0.03673887286910607
LAO,national,0.004293929791244512,0.004333795293282762,0.004374654871371311,0.004415005280562089,0.004453333112603694,0.004494544592223213,0.004540900644839186,0.004587852483548933,0.004634419064511452,0.004681033671283785,0.004727648083672936,0.004770537698193487,0.004806386361713479,0.00484208130935795,0.00487840042262136,0.004921328908901532,0.004970439567156752,0.005018806236435637,0.005073817722642745,0.0051338199183435605,0.005198914367167815,0.0052699408945151936,0.005345703198446623,0.005426508826484991,0.005507710305274121,0.0055938077963852756
MHL,national,3.260006663395963e-05,3.265897163101157e-05,3.264785549071648e-05,3.2555352083311435e-05,3.238648836353589e-05,3.218967260251102e-05,3.200433336751614e-05,3.188086930673804e-05,3.172246170521321e-05,3.155154967498577e-05,3.139804017366868e-05,3.108418285626655e-05,3.038887600897214e-05,2.9462390962681375e-05,2.846814237953249e-05,2.742763790699465e-05,2.6502056988076636e-05,2.554067790535709e-05,2.4618797710723283e-05,2.374453558061366e-05,2.2895073407886307e-05,2.2071727462679314e-05,2.1304167593423332e-05,2.0564965064185458e-05,1.9803183890070302e-05,1.9057300409606334e-05
