country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,national,0.48796434456863347,1.0,0.450808933706737,0.9297242242840371,0.8778215440133812,0.45321683077658304,0.6350285676788189,0.5120629688564748,0.6176190628677091,0.4089538047815813,0.7037236363643959,0.6045138265787653,0.5852156223605149,0.7312488257690966,0.667999628360973,0.6196040363243083,0.698129638157289,0.6971602718517969,0.6954286923100437,0.4715043650441437,0.014798398054200135,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
FJI,national,0.48796434456863347,0.46471571675345513,0.7689632462855318,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.5120629688564748,0.5564388154570273,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5852156223605149,0.6969831643511664,0.6199467543305528,0.6196040363243083,0.64942074876706,0.6971602718517969,0.6446741256171507,1.0,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
FSM,national,0.611017747130445,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.5570143216964619,0.6350285676788189,0.5120629688564748,0.5712562881121671,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5852156223605149,0.8852527825531809,0.6199467543305528,0.6196040363243083,0.64942074876706,0.6971602718517969,0.6446741256171507,0.4715043650441437,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
IDN,national,0.0,0.0,0.24705866574422797,0.0,0.13430995820002145,0.0,0.22013825138569276,0.2771125738602397,0.19249546980982946,0.0,0.31149154363203646,0.3424179987552689,0.2236072859737146,0.0,0.2543715275236882,0.5408064207333272,0.46236011483515904,0.5052027526694283,0.4985970035274585,0.022815020000882313,0.0,0.0,0.25055509850000224,0.3260270118017097,0.0
JPN,national,0.48796434456863347,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.5120629688564748,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9576200392770216,0.9907982631130041,1.0,1.0,0.9999999999999996,1.0,0.7775370225104883,1.0,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
KIR,national,0.48796434456863347,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.9263223750812813,0.5120629688564748,0.5712562881121671,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5852156223605149,0.7312488257690966,0.6199467543305528,0.6196040363243083,0.64942074876706,0.6971602718517969,0.6446741256171507,0.28937832194890056,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
KOR,national,0.48796434456863347,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.8742909457452254,0.5120629688564748,0.6712770785696257,0.4089538047815813,0.780924879800531,0.6045138265787653,0.8637116822628075,0.7312488257690966,0.7800892811918176,0.6196040363243083,0.7898918472980325,0.8327280715683609,0.8068385674872944,0.3898925491038554,0.12798365571859804,0.6631712094516438,0.3423875732408481,0.44200900393390086,0.0
LAO,national,0.48796434456863347,0.46471571675345513,0.29889694061219607,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.4901594033176895,0.5712562881121671,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5293220436798345,0.7312488257690966,0.6199467543305528,0.6196040363243083,0.64942074876706,0.6971602718517969,0.3932234567232724,0.4715043650441437,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
MHL,national,0.48796434456863347,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.5120629688564748,0.5712562881121671,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5852156223605149,0.7312488257690966,0.6199467543305528,0.6196040363243083,0.64942074876706,0.6971602718517969,0.6446741256171507,0.5206862005802098,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
MMR,national,0.48796434456863347,0.46471571675345513,0.450808933706737,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.5120629688564748,0.5712562881121671,0.4089538047815813,0.6015582667960726,0.6045138265787653,0.5852156223605149,0.7312488257690966,0.6199467543305528,0.0,0.64942074876706,0.0,0.6446741256171507,0.4715043650441437,0.38608110536264206,0.6165508638940338,0.3423875732408481,0.44200900393390086,0.0
MNG,national,0.48796434456863347,0.46471571675345513,0.0,0.6016265610793512,0.5030328755533506,0.45321683077658304,0.6350285676788189,0.0,0.5712562881121671,0.4089538047815813,0.0,0.0,0.0,0.7312488257690966,0.0,0.6196040363243083,0.0,0.6971602718517969,0.0,0.4715043650441437,0.38608110536264206,0.6165508638940338,1.0,0.44200900393390086,0.0
MYS,national,0.48796434456863347,0.46471571675345513,0.450808933706737,1.0,0.5030328755533506,0.45321683077658304,0.8740839372274015,0.5120629688564748,0.6704070784028598,0.4089538047815813,0.6015582667960726,0.7572954545826178,0.5852156223605149,0.6348124697037205,0.6199467543305528,0.8471311259009497,0.64942074876706,0.6971602718517969,0.9111394297561173,0.4715043650441437,0.38608110536264206,1.0,0.3423875732408481,0.44200900393390086,0.0
