country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,national,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.3126987597894738
CHN,national,0.028152220615776158,0.008474113098313356,0.012084202284019251,0.010391166117064744,0.010408855530185241,0.013856313930064371,0.021838834165653836,0.02657038701551791,0.032733940996212976,0.03576259952000997,0.04132077838027132,0.05021978298377799,0.05634411238882084,0.06159590788191901,0.06750023326204285,0.07511789821091194,0.08272623216883976,0.09068199196755818,0.09894454572654385,0.10724611122498616,0.10621607380097578,0.12198134123722186,0.11749289046419314,0.12918398518009427,0.3126987597894738
FJI,national,0.20659172957841257,0.1966480770473864,0.19232119924700158,0.1741672835878112,0.16433070009429074,0.16489072913127223,0.15900699216779882,0.15842532640831855,0.16022711307370288,0.15276549543061468,0.1467124210252113,0.1476022745135571,0.1506299114689352,0.15302923078695832,0.1532590870729389,0.07496087430067574,0.1577109364294818,0.16766865259841388,0.17052624535471614,0.17570469111994094,0.1747044055509394,0.17630693094769545,0.17572159480332739,0.19474622971375719,0.3126987597894738
IDN,national,0.042005054503580566,0.021153385829222132,0.022545611252400056,0.01957979754706612,0.01808330105986081,0.018364994449475546,0.022880884929492824,0.023193196213765244,0.02699487071414897,0.026437269851040463,0.027256227316931645,0.02893051785808958,0.03109388990344288,0.03216467762855778,0.03329878837886107,0.03595937959762569,0.03751785725043102,0.03928968415645753,0.04159231488315646,0.04467458148860022,0.04393999304772718,0.04498811487858485,0.04351552109723822,0.045133162150034475,0.0
JPN,national,0.7145817257004808,0.7076360822097967,0.6980003984846692,0.6746057751378517,0.6575651653067792,0.6505632003907093,0.640540016032694,0.6250083228584514,0.6152149984385878,0.6080974915541857,0.6084644496388638,0.5951431709653701,0.6048332887737492,0.6187172863701803,0.6072934047504139,0.5999972771333378,0.5918216523247726,0.5924014670890414,0.5902017218899359,0.6001719460497595,0.5859242415396022,0.5828062985787268,0.5774201946008364,0.19474622971375719,0.3126987597894738
KIR,national,0.20659172957841257,0.1966480770473864,0.19232119924700158,0.1741672835878112,0.16433070009429074,0.16489072913127223,0.021802684622209145,0.01934780940771773,0.01897721533890419,0.013073309938252179,0.01196552757724775,0.01455851973451567,0.01484927294792163,0.016307502947885938,0.016763721562677462,0.02267531283846109,0.02502914679648377,0.02560810683910118,0.025469304287186682,0.029890561894990706,0.027930948039252848,0.04168700892607802,0.03989440981185256,0.19474622971375719,0.3126987597894738
KOR,national,0.3924980569709615,0.39154045564823653,0.4165152523433722,0.3955910194323432,0.3794289542085912,0.3870117488147767,0.3970554760435712,0.4040778164287048,0.40704414898562663,0.40407291525981087,0.4109522965244383,0.41270865323946104,0.4149877338510681,0.417897222771245,0.4191880137841225,0.4222689935982104,0.4276924817850482,0.43417049578332934,0.4433987143179656,0.46141718606593973,0.4465013028691765,0.45584182240589,0.45911463429268906,0.4606660056550055,0.3126987597894738
LAO,national,0.017746618956729417,0.0,0.0,0.0,0.0,0.0010643122488379654,0.006167570621345337,0.0049612339816953455,0.01155824381669215,0.010125719807083666,0.015017898450986517,0.01568317885368989,0.02101400580835989,0.021354543488101257,0.021776163803750387,0.023842314545109905,0.024552982581936368,0.16766865259841388,0.17052624535471614,0.17570469111994094,0.1747044055509394,0.17630693094769545,0.17572159480332739,0.19474622971375719,0.3126987597894738
MHL,national,0.20659172957841257,0.1966480770473864,0.19232119924700158,0.1741672835878112,0.07840544638358983,0.07797992709485693,0.07652693052564177,0.07258675773584175,0.064008088500617,0.062385756354661634,0.061622376200147044,0.06378392472812883,0.0670466096108813,0.07090405813328987,0.06778801800132925,0.07013832236569972,0.07621243496418562,0.08503141454917482,0.08855631293973767,0.09789055890081488,0.10034394085747414,0.10115216944768769,0.1001529550691796,0.19474622971375719,0.3126987597894738
MNG,national,0.20659172957841257,0.1966480770473864,0.19232119924700158,0.1741672835878112,0.16433070009429074,0.16489072913127223,0.15900699216779882,0.15842532640831855,0.16022711307370288,0.15276549543061468,0.025790175401911596,0.032498511194718596,0.0385805467055545,0.04549228514263761,0.04700222583035933,0.051565396860288194,0.050419963884905696,0.051363685183341876,0.05826325468965076,0.06221899006872442,0.06453707770843332,0.057745323212411465,0.058228744487141465,0.06373446820867439,0.17861392238486884
MYS,national,0.10306921696491213,0.08202462040824945,0.08219490821609342,0.08194821818570605,0.08446133325537303,0.0892863632898587,0.0957148656873634,0.10164962785729065,0.11115685870360327,0.1070463107498844,0.11064321031350775,0.11550226584519988,0.12394063341611826,0.13037743334575858,0.13626906571137667,0.14222527570117058,0.14708533477089675,0.15388631076860584,0.1636449404409284,0.1782595899738876,0.17171506192052255,0.1705497004630836,0.1812780816428925,0.1851783947170593,1.0
PHL,national,0.04998040264181546,0.02909502473331721,0.030782539065577433,0.028183342461753188,0.026817245911048965,0.027040843241303358,0.031794035557920916,0.0318120974145909,0.034794286373495686,0.03288288054704225,0.03266874605160798,0.03430905155433762,0.036995991860833535,0.038089877790538844,0.03941290952977844,0.0429991051546278,0.045972742717988575,0.048466421896024556,0.051326324630292595,0.05536711320876908,0.04988565636868342,0.052355823965392845,0.05339167697494558,0.0557682618907442,0.07492361778777556
