country_code,year,pce
MHL,2002,
MHL,2003,
MHL,2004,2885.9830614340726
MHL,2005,2942.2626351276704
MHL,2006,2850.3550204976445
MHL,2007,2822.390268309293
MHL,2008,2527.992036837895
MHL,2009,2546.7279011303126
MHL,2010,2575.241432667668
MHL,2011,2667.56184828564
MHL,2012,2775.31410711748
MHL,2013,2934.7895531346453
MHL,2014,2885.5492609025123
MHL,2015,2956.119575356782
MHL,2016,3182.1089756282627
MHL,2017,3495.9266280542524
MHL,2018,3630.0148514043294
MHL,2019,3880.4945052226126
MHL,2020,3870.25146620995
MHL,2021,3925.414652153588
MHL,2022,4086.7262924477272
MHL,2023,
MHL,2024,
MNG,2000,
MNG,2001,
MNG,2002,
MNG,2003,
MNG,2004,
MNG,2005,
MNG,2006,
MNG,2007,
MNG,2008,
MNG,2009,
MNG,2010,1512.23633772482
MNG,2011,1721.59837183285
MNG,2012,1908.85562948927
MNG,2013,2158.39327687931
MNG,2014,2244.68628800156
MNG,2015,2376.28998322873
MNG,2016,2369.60780720573
MNG,2017,2424.31257253919
MNG,2018,2658.66018772207
MNG,2019,2762.69075142257
MNG,2020,2769.10422737044
MNG,2021,2563.49793116044
MNG,2022,2729.77622482087
MNG,2023,2955.1110042021
MNG,2024,3294.96093746058
MYS,2000,2635.63445819664
MYS,2001,2650.9388328907
MYS,2002,2687.78783129231
MYS,2003,2837.90798750543
MYS,2004,3046.17626585988
MYS,2005,3249.13819888419
MYS,2006,3387.62343884211
MYS,2007,3660.97857668476
MYS,2008,3897.66188699704
MYS,2009,3841.94895494223
MYS,2010,4029.50310959533
MYS,2011,4231.3468916647
MYS,2012,4507.07130221607
MYS,2013,4751.85706228808
MYS,2014,4996.94186320741
MYS,2015,5206.60772479137
MYS,2016,5414.71064165109
MYS,2017,5687.51709077947
MYS,2018,6037.75090468222
MYS,2019,6398.9372753072
MYS,2020,6065.08524889391
MYS,2021,6102.80522720758
MYS,2022,6712.48225689278
MYS,2023,6938.72146294838
MYS,2024,7204.51247313098
PHL,2000,1353.93448389958
PHL,2001,1376.60446559769
PHL,2002,1417.76991789161
PHL,2003,1464.71770069679
PHL,2004,1521.34740703258
PHL,2005,1559.69081451188
PHL,2006,1597.81942848556
PHL,2007,1645.86663934579
PHL,2008,1679.33227731995
PHL,2009,1691.101579167
PHL,2010,1716.29736338506
