country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AUS,national,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9754699514971846,0.9282702266279417,0.9168886070676963,0.9142551255853465,0.8787652107489597,0.8613485728401951
CHN,national,0.042241671931770954,0.044471219929636076,0.04697308482262393,0.049926112542771316,0.05310345246572087,0.057785318156313284,0.06377982164518214,0.07160047307326946,0.07761705452555738,0.08430399291788346,0.09248371412221447,0.09978687592749888,0.10550241391015824,0.11193568966372033,0.11856331762556184,0.1251405794998419,0.1320282184523531,0.13986143724869599,0.14883340514012855,0.15668745162266706,0.15815199986067535,0.16242694150661938,0.16247747369124954,0.17169143904952816,0.17383911818159611,0.1779748396782577
FJI,national,0.07993797800939775,0.07872657781514189,0.07799201670019475,0.07518464696049751,0.0758838915529406,0.0733705552794484,0.07179011943563196,0.06803587475893758,0.06675774597655978,0.06389767184857871,0.0643125931126914,0.0644480642466842,0.06340518298040368,0.06523684673376669,0.06797742253788899,0.07007033388169938,0.07059981571347798,0.07443857381210264,0.07788523421446814,0.07518961525636486,0.058909966537445124,0.05260787711669628,0.06385094683320823,0.06927460634321059,0.06932750506634022,0.06955800350881275
FSM,national,0.054279580656216554,0.05359556785528388,0.05205443434045152,0.050172689748500074,0.04706817341486717,0.046291455535261095,0.04441528802363758,0.04180870670469785,0.03997531833578676,0.039765718905767786,0.03981603170020544,0.03935575189848768,0.03631065133327716,0.0327781051085541,0.030762076197311753,0.03097021921886617,0.029772788708778582,0.02916615330614431,0.029599470200183386,0.02806490563169149,0.029145423048848214,0.029252753380809703,0.026754909768438855,0.026705991966651074,0.02618988238137299,0.02627175809714898
IDN,national,0.033288320462176314,0.032916544646891074,0.0325848971094956,0.03217046926547761,0.03181757252026663,0.03192215926851914,0.0319123610715543,0.03229030333571061,0.03296080143175524,0.03313871429782192,0.034083336451098345,0.03514133542636563,0.03593982913640398,0.03659048718712336,0.0370751367829856,0.03769688573110486,0.03861127654722085,0.04020199603397614,0.04276474288881137,0.04279966711770207,0.042099818258544766,0.04254940195662728,0.043449931817740484,0.045835740976375244,0.04668367632954458,0.048202409871645605
JPN,national,0.6807736166623833,0.6696244568274834,0.6525904568247012,0.6445695827959136,0.6420312486641475,0.6426554502626733,0.640139701008621,0.637551723754922,0.6245986729844162,0.5864110506965329,0.6054571558557803,0.5969593201772333,0.5969619765578916,0.6037427468988701,0.6003680335460969,0.6044025704202768,0.6035505067249065,0.6082764034591058,0.6070396759139364,0.6063739359287815,0.5668759362977727,0.544322663205158,0.5346666949981477,0.5430934615641104,0.5227938980404752,0.5143030920125964
KIR,national,0.027327576633374775,0.02451583948358462,0.022947678804686664,0.020341042980845082,0.018054977191888623,0.01639974826959913,0.015880341463002667,0.014653848761805142,0.011977391040352933,0.010214186833938758,0.008752552030942953,0.0081478145164047,0.007969071557541386,0.008187065308831155,0.006798138606733051,0.008203063700431647,0.008693862706639688,0.008834062463001995,0.009758201546914508,0.0075127607543493645,0.008776017819182826,0.011754888451292213,0.011783170342381886,0.012080335141439733,0.012897052506987642,0.01371495312315929
KOR,national,0.36504055884225395,0.37302770389865697,0.3902949751561899,0.3901811540084821,0.3985351220638592,0.4077549476899873,0.41978142588719675,0.4342685472579823,0.44058693947001865,0.4400698712682291,0.4641475380522781,0.47014301178240225,0.47154110064825966,0.4793393776021743,0.4869216389160666,0.49305259126019285,0.5010359259636593,0.5107077386557877,0.5186812567485113,0.5293846665838632,0.5114357718771771,0.4975905040351378,0.4958134419482123,0.5001145827028477,0.4885312684639565,0.4838512217918484
LAO,national,0.013365092471461228,0.013250921764497912,0.012992594803807015,0.01260693208626192,0.0122393372759308,0.012051309878306861,0.012161512056122738,0.012123134895422218,0.012356077270607894,0.012553546697124815,0.013209382643238787,0.0140677268631243,0.014739446860344577,0.015403396422799549,0.016063492825687916,0.016812336388782788,0.017628473113636727,0.019068377433399397,0.021170447837707822,0.02011259269842403,0.02155772137287596,0.0221876897377664,0.021554721867510188,0.022403141033598643,0.02281155815100853,0.02346862739191959
MHL,national,0.060815965788917854,0.06260641981764847,0.06159184178474162,0.05801726365739907,0.0554871943399008,0.05421387074576234,0.052725392001363884,0.05111731121376947,0.046483261061872956,0.04760146310350394,0.04858771339694179,0.04686437453679844,0.04576891786923203,0.04663233077274602,0.045843957924339956,0.04703235161459553,0.04910325332870974,0.05295424649718411,0.06009350010511159,0.06580894308776714,0.06742376583618287,0.06744868285790445,0.06602357217638498,0.06653273727188598,0.07052913369723475,0.07480231881572469
MMR,national,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007249149639825155,0.0024079950845040214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,national,0.028262211212894163,0.027688033976322073,0.02741874987644368,0.027731777003070918,0.02934573761344024,0.030043442121126054,0.031244850205706172,0.033219604624060685,0.03509404798258922,0.032235947137031915,0.03296707303058791,0.039068690229201994,0.04304976787365443,0.04702367308871301,0.048978235773749684,0.0475503811164161,0.04573145762210311,0.047282341723912505,0.05115886566551137,0.051323660766575616,0.04764559477856087,0.04589840852469868,0.0462095618870646,0.04984121106772399,0.05027989552327439,0.05258402964305681
