country_code,year,gdp
AUS,2000,46025.4152231667
AUS,2001,46838.7962791339
AUS,2002,47940.2026347242
AUS,2003,49148.07282503154
AUS,2004,50377.60818750325
AUS,2005,51203.583134726
AUS,2006,52042.86485840375
AUS,2007,52933.9311679046
AUS,2008,53286.554489966
AUS,2009,53407.910134603546
AUS,2010,53845.08487265595
AUS,2011,54684.4655845361
AUS,2012,55492.79566615405
AUS,2013,56027.935354949805
AUS,2014,56533.4399204935
AUS,2015,57070.0463807766
AUS,2016,57575.85722453135
AUS,2017,58140.715195940254
AUS,2018,58727.75790797685
AUS,2019,58528.766084934
AUS,2020,58704.6508154115
AUS,2021,60143.155410968655
AUS,2022,61303.99266186595
AUS,2023,61405.03718636095
AUS,2024,61651.19359512554
CHN,2000,2237.44298500334
CHN,2001,2405.89396743215
CHN,2002,2610.72960252379
CHN,2003,2857.0373538115
CHN,2004,3127.86276523632
CHN,2005,3465.81734409951
CHN,2006,3883.35412942474
CHN,2007,4409.75700836878
CHN,2008,4811.47471804961
CHN,2009,5237.76666540352
CHN,2010,5764.86534987407
CHN,2011,6275.90956436258
CHN,2012,6723.19443752823
CHN,2013,7198.06876478162
CHN,2014,7686.57792954381
CHN,2015,8175.33285077393
CHN,2016,8679.37704460133
CHN,2017,9221.51403820573
CHN,2018,9798.6528523316
CHN,2019,10356.4804194995
CHN,2020,10573.6420059282
CHN,2021,11469.5707134928
CHN,2022,11830.5983703496
CHN,2023,12484.1578844175
CHN,2024,13121.6769905565
FJI,2000,3960.88903149999
FJI,2001,3998.79729208866
FJI,2002,4086.10434130576
FJI,2003,4087.72449101022
FJI,2004,4264.59723774175
FJI,2005,4255.45097421846
FJI,2006,4295.40679748343
FJI,2007,4223.44800626706
FJI,2008,4240.77265686856
FJI,2009,4164.29314800855
FJI,2010,4272.35915090198
FJI,2011,4375.58085420338
FJI,2012,4427.97844455036
FJI,2013,4630.35126544716
FJI,2014,4883.24300436249
FJI,2015,5097.53106864695
FJI,2016,5218.85823412744
FJI,2017,5500.67840152348
FJI,2018,5720.21447177107
FJI,2019,5701.10435269429
FJI,2020,4729.3813108251
FJI,2021,4489.96060809938
FJI,2022,5362.78680848613
FJI,2023,5736.82886448243
FJI,2024,5926.74107099777
FSM,2000,2787.806889533145
FSM,2001,2830.1839192308103
FSM,2002,2852.4173159213497
FSM,2003,2869.0514869515378
FSM,2004,2826.704841017725
FSM,2005,2883.475195960013
FSM,2006,2887.2353891223825
