country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MMR,national,306.1863165567842,337.9443545798663,376.5165411748375,424.45660702027226,478.02248798266425,538.0960535703504,602.4966176681305,667.4524029220355,732.374027552477,802.9592593724292,865.0774931996166,909.915174543627,971.0149626257036,1043.3289229246525,1116.116171991585,1181.394576525,1241.6753773466426,1308.315145852975,1381.423705072735,1406.0708776521724,1260.2343127653526,1146.4384902704371,1175.51685870707,1172.9446925860425,1153.999156995215,1117.9582492753602
MNG,national,1598.31282040605,1625.46152259484,1680.65335337555,1775.64906676137,1942.36263694017,2060.26168223171,2209.74321787628,2403.72416258662,2576.71295838607,2498.72967493254,2611.67326563924,3010.81642672623,3318.16496597089,3628.90708069575,3830.35892049593,3838.92126989984,3817.91962716702,3956.2049437134,4183.85566447661,4337.8167085432,4066.03410882791,4063.53669849245,4205.88554513551,4456.53627552726,4615.43866164735,4848.236550761125
MYS,national,6455.61419792583,6334.92795651698,6516.90671560155,6732.92049458099,7025.34558004381,7234.02442689141,7469.8106921211,7769.59693350488,7976.11785374773,7700.46111294033,8118.92270511981,8400.32248683558,8710.52671359902,8964.80724896203,9341.73055971278,9648.6797937523,9901.47960179812,10293.7629205362,10610.1950240479,10902.9834855856,10171.4657842762,10388.2667120857,11174.2100761842,11429.5894122241,11868.3647368199,12187.22237201332
NRU,national,5895.411317893875,5428.188738436675,5169.462565436885,5070.653953843501,4952.481625300121,5156.359038311145,4773.9964684905,4610.53773953806,4895.35819211725,4741.107042392715,5056.691655125025,6007.27968827097,6671.36569451567,7179.857512530485,7676.260606185485,7800.829600232565,7603.804543730261,7216.6994950087155,7389.6305034948255,7712.325174830796,8025.886892848325,8371.357289374246,8461.16095989837,8510.502819805635,8494.144896799364,8557.194984112637
PHL,national,1793.34761146436,1807.70892524758,1837.25429286854,1892.82161995051,1978.34489133113,2037.8776605946,2110.42044781284,2209.34651083329,2264.9462907288,2256.72554835463,2373.14312064664,2416.75212064542,2533.74141964959,2654.41506933978,2776.92005909479,2909.85818010301,3076.3374186759,3247.4503878362,3410.93647976109,3575.88170922922,3198.66690008413,3350.97587587776,3577.70136573244,3744.69763802928,3925.3048697218,4099.960905593671
PNG,national,1989.57882204274,1920.78003889393,1854.41831737462,1832.67870314447,1821.84741071002,1875.82273480514,1915.2349405788,2000.9726186689,1934.03201558753,2003.24109727039,2140.50939027384,2102.03192060639,2139.48096660428,2162.10592595591,2391.3578028163,2484.5963398603,2557.09463030035,2584.8883636271,2518.45899317321,2572.56177967896,2438.61137922293,2378.3716816549,2467.23488790877,2515.29070398356,2572.03225701814,2646.3005732186352
SLB,national,1747.73099551254,1577.66696008378,1504.85795225232,1573.85522149264,1664.58030147977,1755.72812344484,1796.71896309507,1830.23675931387,1911.19452897184,1930.45659372799,2058.95426620207,2132.01998399541,2105.90758922315,2136.72036781191,2085.15500132222,2045.47889485251,2084.24598380679,2075.36230008714,2061.89784418456,2043.07578936317,1930.64258596415,1933.17055918223,1932.78966817916,1937.16001505132,1939.81288626967,1944.097036547905
THA,national,3514.71662970608,3599.02524877358,3783.75422073266,4018.15538187068,4232.77157261934,4372.25730206261,4551.5250018314,4760.66708464831,4805.76393990836,4737.45679763314,5059.35747831657,5070.23740191942,5403.87846036273,5516.61164164135,5541.46599361845,5688.85335397884,5857.78052935926,6076.74307700082,6314.19948412043,6434.53770518034,6035.18627737077,6121.52696529713,6278.7855138276,6408.41432577294,6573.44430044414,6696.265090823471
TLS,national,1117.56429796112,1192.78575791112,1028.1319342253,964.322564618129,955.470548287377,964.026614173558,897.573763670928,961.848462090268,1042.86835443002,1120.09698448398,1195.38086241831,1237.48383284275,1269.41629276068,1281.92864092574,1312.96494079465,1319.59297370991,1333.6585468432,1267.08660142883,1243.00069226339,1504.54988585305,1947.8399413707,2014.78226729247,1578.51778365868,1278.4186467123,1235.8341095362,1262.966654620946
TON,national,3883.933316771355,3976.0851717668047,4040.5932643302,3979.12860638556,3904.06542441495,3827.6595136466303,3720.57199271555,3749.748595152735,3732.18133026669,3642.369571300795,3773.373125078765,3912.680874656705,3947.381740647315,4010.492826981305,4091.35965843143,4271.859109696015,4494.21979831442,4579.73344312919,4583.84651080113,4616.891429950745,4670.115711773926,4638.966970083045,4652.491524087345,4761.312806621133,4872.138444182639,5000.108176272793
TUV,national,3056.55101983122,3043.15907920605,3320.16858154912,3152.22822039796,3042.6128529965,2864.90524160208,2900.92710155819,3069.67368184077,3230.22109521715,2987.80397939993,2879.29645720352,3028.2511217061,2922.07629963849,3030.55285189857,3035.24325598472,3357.83417700071,3558.61212970652,3666.20189700038,3757.85997284742,4345.99606453315,4233.0183205634,4396.04894488478,4515.29701517492,4773.34085526672,5054.766714266886,5280.606341429529
TWN,national,31439.08,30820.02,32343.78,33585.22,35786.15,37578.02,39562.01,42121.37,42312.81,41481.05,45647.29,47196.01,48056.08,49127.8,51313.77,51936.36,52953.17,54819.01,56369.43,58056.76,60149.2,64701.98,66754.34,67054.0,69997.41,72057.33521994672
VNM,national,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802,4017.74604111554,4225.218420897213
VUT,national,2841.73909435642,2676.92934450613,2475.16636434639,2518.521315183,2555.73432279339,2626.85057870874,2780.97475852227,2791.7418410919,2875.08524058992,2888.13715784739,2856.77377649901,2883.22689591881,2849.05448321427,2799.28262661802,2807.83422956759,2854.89412272653,2889.01404801498,2946.96186165079,2960.65376683153,2986.2036911437,2771.87098808052,2666.30269843855,2740.27545530661,2651.47349372082,2694.69807356803,2587.8329957904693
WSM,national,3041.41810844505,3214.40324269246,3368.1705125798453,3490.368357841015,3645.760283236905,3788.3524113780304,3819.588716287355,3872.06468551846,3900.9086249276297,3978.5491383208446,4141.305998584555,4104.6837829286105,3992.15191057473,3971.815098694055,4025.79907145306,4228.79938130162,4383.30554348178,4357.189173004635,4393.5429691349855,4374.576779100065,4114.396146063666,3828.17205794762,3868.362784925775,4202.077439743245,4553.10110583457,4766.279079872277
