country_code,country_name,year,poverty_215,poverty_365,poverty_685,gini_index,gdp,cpi,population,pce,gdp_per_capita,gdp_growth,population_growth,cpi_growth,gdp_per_capita_growth,poverty_gap_215_365,poverty_gap_365_685,years_since_2000,decade
AUS,Australia,2001,1.0,1.0,1.7,33.5,46838.7962791339,0.6248691647477511,19274701,24752.13873109135,0.00243006603729593,4.9302645015375735,2.314100747918224,5.79564489112232,2.5569923739691136,0.0,0.7,1,2000
AUS,Australia,2003,1.0,1.2,2.0,33.5,49148.07282503154,0.6610843625706528,19720737,26285.55429189585,0.0024922026405520005,4.9302645015375735,2.314100747918224,5.79564489112232,2.5569923739691136,0.19999999999999996,0.8,3,2000
AUS,Australia,2004,0.7,0.7,1.2,33.1,50377.60818750325,0.6765752564370957,19932722,27264.44122138855,0.0025273822705952176,2.5016959807333317,1.074934471262412,2.3432552248257466,1.411587864918773,0.0,0.5,4,2000
AUS,Australia,2008,0.7,0.7,1.0,35.4,53286.554489966,0.7682646012141532,21249199,29718.51886615345,0.002507697089662815,5.774284264619678,6.604602221412614,13.551980198019887,-0.7788762769063262,0.0,0.30000000000000004,8,2000
AUS,Australia,2010,0.3,0.7,1.0,34.7,53845.08487265595,0.804689135440655,22031750,30413.3360196105,0.0024439767550310776,1.048163815498926,3.682731758500646,4.741144414168907,-2.540990093835671,0.39999999999999997,0.30000000000000004,10,2010
AUS,Australia,2014,0.5,0.7,1.0,34.4,56533.4399204935,0.8882143604772869,23475686,31627.304073208048,0.0024081698792739648,4.99275849261922,6.5538870039828945,10.379812695108992,-1.465107050768888,0.19999999999999996,0.30000000000000004,14,2010
AUS,Australia,2016,0.5,0.5,1.0,33.7,57575.85722453135,0.9131253925057562,24190907,32282.79008751965,0.002380061947430551,1.843895056631717,3.046645793439229,2.8046193730850266,-1.1671905742749455,0.0,0.5,16,2010
AUS,Australia,2018,0.5,0.7,1.2,34.3,58727.75790797685,0.9487125811178588,24963258,32855.6898823233,0.0023525678382195483,2.0006661454529118,3.1927327073763667,3.8972948188907397,-1.155184605202586,0.19999999999999996,0.5,18,2010
AUS,Australia,2020,1.0,1.0,1.5,33.8,58704.6508154115,0.9721582583211252,25649248,31536.841005387847,0.0022887474445805,-0.039346117387206725,2.7479986786981048,2.4713150926743976,-2.712797165813019,0.0,0.5,20,2020
CHN,China,2002,48.1,64.0,89.3,42.0,2610.72960252379,,1280400000,955.872848066736,2.0389953159354813e-06,32.75282667148323,1.8213058419243922,,30.378240166728364,15.899999999999999,25.299999999999997,2,2000
CHN,China,2005,33.1,50.7,81.8,40.9,3465.81734409951,,1303720000,1201.84066655461,2.6584062099987037e-06,32.75282667148323,1.8213058419243922,,30.378240166728364,17.6,31.099999999999994,5,2000
CHN,China,2008,26.2,41.6,73.0,43.0,4811.47471804961,,1324655000,1619.47932819679,3.63224742899065e-06,38.82655201783949,1.6057895867210847,,36.632521220014056,15.400000000000002,31.4,8,2000
CHN,China,2010,20.6,34.9,66.1,43.7,5764.86534987407,,1337705000,1972.97025095808,4.309519176405911e-06,19.814935912433285,0.9851621743019789,,18.64607961477627,14.299999999999997,31.199999999999996,10,2010
CHN,China,2011,15.7,29.7,62.7,42.4,6275.90956436258,,1345035000,2257.42877889591,4.6659823457103935e-06,8.864807475506309,0.5479533977969631,,8.271529948307798,14.0,33.0,11,2010
CHN,China,2012,13.2,25.7,58.0,42.2,6723.19443752823,,1354190000,2449.54831784455,4.964734961510741e-06,7.127012723470938,0.6806514328623336,,6.40278067222011,12.5,32.3,12,2010
CHN,China,2013,6.2,17.0,51.7,39.7,7198.06876478162,,1363240000,2650.40116368036,5.280118515288299e-06,7.063224657057177,0.6682961770504869,,6.352475131554436,10.8,34.7,13,2010
CHN,China,2014,4.7,14.0,46.7,39.2,7686.57792954381,,1371860000,2876.67634511188,5.603033785913876e-06,6.7866698794591285,0.6323171268448613,,6.115682246347198,9.3,32.7,14,2010
CHN,China,2015,3.0,10.9,42.4,38.6,8175.33285077393,,1379860000,3111.57733727258,5.924755301823323e-06,6.358550263981089,0.5831498840989546,,5.741916401044378,7.9,31.5,15,2010
CHN,China,2016,2.2,8.7,38.7,38.5,8679.37704460133,,1387790000,3387.30326753543,6.254099715808105e-06,6.165427182327909,0.5746959836505194,,5.558785084059559,6.499999999999999,30.000000000000004,16,2010
CHN,China,2017,1.7,7.7,36.3,39.1,9221.51403820573,,1396215000,3675.7795108406,6.6046518897202295e-06,6.246266187290672,0.607080321950737,,5.60515805378119,6.0,28.599999999999998,17,2010
CHN,China,2018,0.8,5.7,32.2,38.5,9798.6528523316,,1402760000,3963.11619368469,6.98526679712253e-06,6.25861232477356,0.46876734600329595,,5.762830710195432,4.9,26.500000000000004,18,2010
CHN,China,2019,0.0,3.2,28.9,38.2,10356.4804194995,,1407745000,4173.65995460491,7.356787216079261e-06,5.692900601485884,0.35537084034331645,,5.31862890490844,3.2,25.7,19,2010
CHN,China,2020,0.0,1.7,29.5,37.1,10573.6420059282,,1411100000,4050.83369006802,7.493191131690313e-06,2.0968666731588037,0.23832441244686642,,1.8541234319367383,1.7,27.8,20,2020
CHN,China,2021,0.0,0.3,21.0,35.7,11469.5707134928,,1412360000,4578.9428350316,8.120854961548613e-06,8.473227172456642,0.08929204166960858,,8.3764556225421,0.3,20.7,21,2020
CHN,China,2022,0.0,0.5,21.5,36.0,11830.5983703496,,1412175000,4647.9634911987,8.377572447005223e-06,3.1476998213375795,-0.013098643405362598,,3.1612125407009417,0.5,21.0,22,2020
