feature,importance,cumulative_importance
poverty_365,0.45020955548369035,0.45020955548369035
poverty_685,0.2634696347860007,0.7136791902696911
pce,0.13485247238586728,0.8485316626555583
gdp_per_capita,0.05652558143805399,0.9050572440936123
cpi,0.049578414107925385,0.9546356582015377
population_growth,0.023418877093340715,0.9780545352948784
population,0.012211229680554925,0.9902657649754333
gdp_growth,0.006243413886346934,0.9965091788617803
gini_index,0.0034908211382196582,0.9999999999999999
